ID,KELURAHAN,KECAMATAN_ID,KODE KECAMATAN,KODE KELURAHAN
1,BENCE,1,35.05.11,1006
2,GARUM,1,35.05.11,1004
3,SUMBERDIREN,1,35.05.11,1002
4,TAWANGSARI,1,35.05.11,1003
5,KADEMANGAN,2,35.05.04,1011
6,KANIGORO,3,35.05.10,1008
7,SATREYAN,3,35.05.10,1010
8,NGLEGOK,4,35.05.09,1009
9,DANDONG,5,35.05.03,1009
10,KAUMAN,5,35.05.03,1010
11,SRENGAT,5,35.05.03,1007
12,TOGOGAN,5,35.05.03,1004
13,JEGU,6,35.05.12,1008
14,JINGGLONG,6,35.05.12,1006
15,KALIPANG,6,35.05.12,1004
16,KEDUNGBUNDER,6,35.05.12,1002
17,KEMBANGARUM,6,35.05.12,1003
18,SUKOREJO,6,35.05.12,1007
19,SUTOJAYAN,6,35.05.12,1005
20,BAJANG,7,35.05.14,1013
21,KAMULAN,7,35.05.14,1009
22,KAWERON,7,35.05.14,1014
23,TALUN,7,35.05.14,1008
24,BABADAN,8,35.05.17,1002
25,BERU,8,35.05.17,1001
26,KLEMUNAN,8,35.05.17,1006
27,TANGKIL,8,35.05.17,1003
28,WLINGI,8,35.05.17,1004
