ID_RUAS,NO_RUAS,NAMA_RUAS,PANGKAL_RUAS,UJUNG_RUAS,LINGKUNGAN,ID_KELURAHAN,KODE_KELURAHAN,KELURAHAN,ID_KECAMATAN,,KECAMATAN,PANJANG,LEBAR,BAHU_JALAN,ID_PERKERASAN,PERKERASAN,ID_KONDISI,KONDISI,UTILITAS,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,GEOMETRY,IMAGE
1,1,JALAN KELUD,JL SEDAP MALAM,JLN KELUD,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,301.0675386,3,"1/1,5",1,HOTMIX,3,RUSAK RINGAN,,112.0663013,-8.064199569,112.067662,-8.064304906,112.0690196,-8.064383918,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.067206365,-8.064218539],[112.067209573,-8.064218878],[112.067457766,-8.064256273],[112.068058772,-8.064292732],[112.068440337,-8.06426321],[112.068448437,-8.064263488],[112.069024883,-8.064348128],[112.069035721,-8.064351509],[112.06904498,-8.064358063],[112.069051754,-8.064367147],[112.06905538,-8.064377873],[112.069055503,-8.06438919],[112.06905211,-8.064399992],[112.069045535,-8.06440922],[112.06903642,-8.064415971],[112.069025658,-8.064419585],[112.069014303,-8.064419707],[112.068441891,-8.064335659],[112.068061885,-8.064365061],[112.06805687,-8.064365102],[112.067451738,-8.064328393],[112.067448517,-8.064328054],[112.067200318,-8.064290658],[112.066299034,-8.064235677],[112.066287947,-8.064233227],[112.066278162,-8.064227482],[112.066270638,-8.064219005],[112.06626611,-8.064208625],[112.066265022,-8.064197359],[112.06626748,-8.064186309],[112.066273245,-8.064176557],[112.06628175,-8.064169058],[112.066292165,-8.064164545],[112.066303469,-8.064163461],[112.067206365,-8.064218539]]]]}",1.jpg
2,2,JLAN SEDAP MALAM,JLN MASTRIP,KEL SRENGAT,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,177.8194579,4,1/1,2,ASPAL,2,SEDANG,,112.0663013,-8.064199569,112.0663392,-8.063396539,112.066413,-8.062596085,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.066306604,-8.063318416],[112.066306732,-8.063316643],[112.066376863,-8.062592609],[112.066379709,-8.062581652],[112.066385813,-8.062572108],[112.066394578,-8.06256491],[112.066405145,-8.062560765],[112.06641648,-8.062560077],[112.066427474,-8.062562913],[112.06643705,-8.062568997],[112.066444272,-8.062577732],[112.066448431,-8.062588264],[112.066449122,-8.062599561],[112.066379076,-8.063322711],[112.066337509,-8.064201273],[112.066335206,-8.064212356],[112.066329579,-8.064222188],[112.06632118,-8.064229805],[112.06631083,-8.064234463],[112.066299542,-8.064235705],[112.066288422,-8.06423341],[112.066278557,-8.064227802],[112.066270914,-8.06421943],[112.066266241,-8.064209115],[112.066264995,-8.064197865],[112.066306604,-8.063318416]]]]}",2.jpg
3,3,JLN KELUD,JLN KELUD,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,133.2320068,3,1/1,1,HOTMIX,3,RUSAK RINGAN,SALURAN KIRI JALAN,112.0690196,-8.064383918,112.0696235,-8.064407467,112.0702274,-8.064431016,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.070228806,-8.064394868],[112.070239944,-8.064397074],[112.070249853,-8.064402603],[112.070257564,-8.064410913],[112.07026232,-8.064421191],[112.070263656,-8.06443243],[112.070261443,-8.064443531],[112.070255895,-8.064453408],[112.070247557,-8.064461092],[112.070237245,-8.064465832],[112.070225968,-8.064467164],[112.069018174,-8.064420066],[112.069007035,-8.06441786],[112.068997126,-8.064412331],[112.068989416,-8.064404021],[112.06898466,-8.064393743],[112.068983323,-8.064382503],[112.068985537,-8.064371402],[112.068991084,-8.064361526],[112.068999422,-8.064353842],[112.069009735,-8.064349102],[112.069021012,-8.064347769],[112.070228806,-8.064394868]]]]}",3.jpg
4,4,JLN KELUD GG I,JLN KELUD,JLN KAWI GG 1,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,136.4155126,2,"0,5/0,5",2,ASPAL,2,SEDANG,SUNGAI KANAN JALAN,112.0680591,-8.064328993,112.0680474,-8.064939887,112.0680407,-8.065556598,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.068056114,-8.06473988],[112.068083427,-8.06483867],[112.068084729,-8.064848674],[112.068076984,-8.065556992],[112.068075085,-8.065568151],[112.068069819,-8.065578179],[112.068061702,-8.065586094],[112.068051528,-8.065591123],[112.068040293,-8.065592771],[112.068029096,-8.065590879],[112.068019034,-8.065585631],[112.068011092,-8.065577541],[112.068006047,-8.065567401],[112.068004393,-8.065556203],[112.068012083,-8.064852979],[112.067984352,-8.064752678],[112.067983213,-8.064739624],[112.068022943,-8.064325549],[112.068025779,-8.06431459],[112.068031875,-8.06430504],[112.068040633,-8.064297835],[112.068051196,-8.06429368],[112.068062531,-8.064292982],[112.068073527,-8.064295808],[112.068083109,-8.064301883],[112.068090338,-8.064310612],[112.068094507,-8.06432114],[112.068095208,-8.064332437],[112.068056114,-8.06473988]]]]}",4.jpg
5,5,JLN KAWI GG I,JLN KELUD GG I,JL KAWI / ( KEL. SRENGAT),KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,93.28102421,2.5,"0,3/0,3",2,ASPAL,2,SEDANG,,112.0680407,-8.065556598,112.0684586,-8.065622509,112.0688766,-8.06568842,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.068882235,-8.065652689],[112.068893036,-8.065656185],[112.068902225,-8.065662836],[112.068908901,-8.065671992],[112.068912412,-8.065682755],[112.068912414,-8.065694074],[112.068908906,-8.065704839],[112.068902232,-8.065713996],[112.068893046,-8.06572065],[112.068882246,-8.06572415],[112.068870889,-8.065724151],[112.068035015,-8.065592329],[112.068024214,-8.065588833],[112.068015026,-8.065582181],[112.068008349,-8.065573026],[112.068004838,-8.065562262],[112.068004837,-8.065550943],[112.068008345,-8.065540179],[112.068015018,-8.065531021],[112.068024205,-8.065524367],[112.068035005,-8.065520868],[112.068046361,-8.065520866],[112.068882235,-8.065652689]]]]}",5.jpg
6,6,JLN GG KAWI III,KEL SRENGAT/ SUNGAI,JLN KAWI,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,95.07401879,2.5,0,5,TANAH,4,RUSAK BERAT,,112.0680128,-8.065920391,112.0684183,-8.066046217,112.0688488,-8.066071356,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.06817095,-8.065903226],[112.068182689,-8.065906735],[112.068387616,-8.066008187],[112.06885088,-8.066035242],[112.068861974,-8.066037663],[112.068871773,-8.066043383],[112.06887932,-8.066051841],[112.068883875,-8.066062209],[112.068884992,-8.066073472],[112.068882563,-8.066084528],[112.068876824,-8.066094295],[112.068868338,-8.066101816],[112.068857935,-8.066106356],[112.068846634,-8.06610747],[112.068375977,-8.066079983],[112.068361952,-8.066076268],[112.068155962,-8.065974289],[112.068008424,-8.065956299],[112.067997506,-8.065953184],[112.067988088,-8.065946859],[112.067981093,-8.065937943],[112.067977204,-8.065927309],[112.067976803,-8.065915998],[112.067979928,-8.065905117],[112.067986275,-8.065895731],[112.067995221,-8.065888759],[112.06800589,-8.065884883],[112.06801724,-8.065884483],[112.06817095,-8.065903226]]]]}",6.jpg
7,7,JLN KERINCI,JLN KAWI,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,150.3514682,4.5,1/1,1,HOTMIX,1,BAIK,SALURAN KIRI DAN KANAN JALAN,112.0688301,-8.066291551,112.069512,-8.066275414,112.0701938,-8.066259276,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.070192918,-8.066223111],[112.070204174,-8.066224616],[112.070214412,-8.066229513],[112.07022263,-8.066237324],[112.070228025,-8.066247284],[112.070230067,-8.066258418],[112.070228558,-8.066269636],[112.070223644,-8.06627984],[112.070215806,-8.066288031],[112.070205813,-8.066293407],[112.070194642,-8.066295442],[112.068830989,-8.066327717],[112.068819734,-8.066326213],[112.068809495,-8.066321315],[112.068801277,-8.066313504],[112.068795882,-8.066303544],[112.06879384,-8.06629241],[112.06879535,-8.066281193],[112.068800264,-8.066270989],[112.068808101,-8.066262798],[112.068818095,-8.066257421],[112.068829266,-8.066255386],[112.070192918,-8.066223111]]]]}",7.jpg
8,8,JLN SEMERU,JLN KAWI,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,172.5512902,4.5,"1/0,5",1,HOTMIX,1,BAIK,,112.0686993,-8.06766063,112.069482,-8.067663372,112.0702647,-8.067666114,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.070264834,-8.067629939],[112.070276044,-8.067631748],[112.070286145,-8.067636922],[112.070294147,-8.067644954],[112.070299267,-8.067655056],[112.070301004,-8.067666241],[112.070299188,-8.067677414],[112.070293997,-8.067687481],[112.070285939,-8.067695456],[112.070275802,-8.067700559],[112.070264579,-8.06770229],[112.068699143,-8.067696805],[112.068687933,-8.067694995],[112.068677832,-8.067689822],[112.06866983,-8.06768179],[112.06866471,-8.067671688],[112.068662973,-8.067660502],[112.068664789,-8.06764933],[112.06866998,-8.067639263],[112.068678039,-8.067631288],[112.068688175,-8.067626185],[112.068699398,-8.067624454],[112.070264834,-8.067629939]]]]}",8.jpg
9,9,JLN RAUNG,KEL SRENGAT,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,336.0709244,3.5,2/1,2,ASPAL,2,SEDANG,SALURAN KIRI JALAN,112.0672525,-8.068966139,112.0687742,-8.069057799,112.0702973,-8.069120909,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.068560765,-8.069012749],[112.070298853,-8.069084765],[112.070309986,-8.069086999],[112.070319882,-8.069092551],[112.070327572,-8.06910088],[112.070332303,-8.06911117],[112.070333612,-8.069122412],[112.070331371,-8.069133508],[112.0703258,-8.069143371],[112.070317443,-8.069151035],[112.070307119,-8.06915575],[112.070295838,-8.069157054],[112.068557352,-8.069085022],[112.068556558,-8.06908498],[112.067250217,-8.069002242],[112.067239136,-8.068999766],[112.067229365,-8.068993999],[112.06722186,-8.068985504],[112.067217356,-8.068975114],[112.067216295,-8.068963845],[112.067218779,-8.068952801],[112.067224566,-8.068943062],[112.06723309,-8.068935583],[112.067243515,-8.068931094],[112.067254822,-8.068930036],[112.068560765,-8.069012749]]]]}",9.jpg
10,10,JLN MURIA,JLN KAWI,KEL DANDONG,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,212.7845067,3,"1,5/0,5",1,HOTMIX,3,RUSAK RINGAN,SALURAN KIRI JALAN,112.068429,-8.070810388,112.0701662,-8.070823077,112.0719033,-8.07083427,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.0703597,-8.070788314],[112.071903554,-8.070798095],[112.071914759,-8.070799937],[112.071924845,-8.070805139],[112.071932824,-8.070813193],[112.071937915,-8.07082331],[112.07193962,-8.0708345],[112.071937773,-8.070845668],[112.071932553,-8.070855719],[112.071924472,-8.070863672],[112.07191432,-8.070868746],[112.071903093,-8.070870445],[112.070359221,-8.070860664],[112.068428767,-8.070846563],[112.068417564,-8.07084471],[112.068407483,-8.070839498],[112.068399512,-8.070831436],[112.068394431,-8.070821314],[112.068392736,-8.070810123],[112.068394595,-8.070798957],[112.068399825,-8.07078891],[112.068407914,-8.070780966],[112.06841807,-8.070775901],[112.0684293,-8.070774213],[112.0703597,-8.070788314]]]]}",10.jpg
