ID_RUAS,NO_RUAS,NAMA_RUAS,PANGKAL_RUAS,UJUNG_RUAS,LINGKUNGAN,ID_KELURAHAN,KODE_KELURAHAN,KELURAHAN,ID_KECAMATAN,,KECAMATAN,PANJANG,LEBAR,BAHU_JALAN,ID_PERKERASAN,PERKERASAN,ID_KONDISI,KONDISI,UTILITAS,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,GEOMETRY,IMAGE
1,1,JALAN KELUD,JL SEDAP MALAM,JLN KELUD,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,301.0675386,3,"1/1,5",1,HOTMIX,3,RUSAK RINGAN,,112.0663013,-8.064199569,112.067662,-8.064304906,112.0690196,-8.064383918,"{""type"":""MultiLineString"",""coordinates"":[[[112.066301252,-8.064199569],[112.067204147,-8.064254648],[112.067453943,-8.064292284],[112.068059075,-8.064328993],[112.068443147,-8.064299277],[112.069019593,-8.064383918]]]}",1.jpg
2,2,JLAN SEDAP MALAM,JLN MASTRIP,KEL SRENGAT,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,177.8194579,4,1-Jan,2,ASPAL,2,SEDANG,,112.0663013,-8.064199569,112.0663392,-8.063396539,112.066413,-8.062596085,"{""type"":""MultiLineString"",""coordinates"":[[[112.066301252,-8.064199569],[112.066342861,-8.06332012],[112.066412992,-8.062596085]]]}",2.jpg
3,3,JLN KELUD,JLN KELUD,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,133.2320068,3,1-Jan,1,HOTMIX,3,RUSAK RINGAN,SALURAN KIRI JALAN,112.0690196,-8.064383918,112.0696235,-8.064407467,112.0702274,-8.064431016,"{""type"":""MultiLineString"",""coordinates"":[[[112.069019593,-8.064383918],[112.070227387,-8.064431016]]]}",3.jpg
4,4,JLN KELUD GG I,JLN KELUD,JLN KAWI GG 1,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,136.4155126,2,"0,5/0,5",2,ASPAL,2,SEDANG,SUNGAI KANAN JALAN,112.0680591,-8.064328993,112.0680474,-8.064939887,112.0680407,-8.065556598,"{""type"":""MultiLineString"",""coordinates"":[[[112.068059075,-8.064328993],[112.068019345,-8.064743068],[112.068048434,-8.06484828],[112.068040688,-8.065556598]]]}",4.jpg
5,5,JLN KAWI GG I,JLN KELUD GG I,JL KAWI / ( KEL. SRENGAT),KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,93.28102421,2.5,"0,3/0,3",2,ASPAL,2,SEDANG,,112.0680407,-8.065556598,112.0684586,-8.065622509,112.0688766,-8.06568842,"{""type"":""MultiLineString"",""coordinates"":[[[112.068040688,-8.065556598],[112.068876562,-8.06568842]]]}",5.jpg
6,6,JLN GG KAWI III,KEL SRENGAT/ SUNGAI,JLN KAWI,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,95.07401879,2.5,0,5,TANAH,4,RUSAK BERAT,,112.0680128,-8.065920391,112.0684183,-8.066046217,112.0688488,-8.066071356,"{""type"":""MultiLineString"",""coordinates"":[[[112.068012832,-8.065920391],[112.068166542,-8.065939134],[112.0683781,-8.066043869],[112.068848757,-8.066071356]]]}",6.jpg
7,7,JLN KERINCI,JLN KAWI,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,150.3514682,4.5,1-Jan,1,HOTMIX,1,BAIK,SALURAN KIRI DAN KANAN JALAN,112.0688301,-8.066291551,112.069512,-8.066275414,112.0701938,-8.066259276,"{""type"":""MultiLineString"",""coordinates"":[[[112.068830127,-8.066291552],[112.07019378,-8.066259277]]]}",7.jpg
8,8,JLN SEMERU,JLN KAWI,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,172.5512902,4.5,"1/0,5",1,HOTMIX,1,BAIK,,112.0686993,-8.06766063,112.069482,-8.067663372,112.0702647,-8.067666114,"{""type"":""MultiLineString"",""coordinates"":[[[112.06869927,-8.06766063],[112.070264707,-8.067666114]]]}",8.jpg
9,9,JLN RAUNG,KEL SRENGAT,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,336.0709244,3.5,1-Feb,2,ASPAL,2,SEDANG,SALURAN KIRI JALAN,112.0672525,-8.068966139,112.0687742,-8.069057799,112.0702973,-8.069120909,"{""type"":""MultiLineString"",""coordinates"":[[[112.06725252,-8.068966139],[112.06855886,-8.069048877],[112.070297346,-8.06912091]]]}",9.jpg
10,10,JLN MURIA,JLN KAWI,KEL DANDONG,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,212.7845067,3,"1,5/0,5",1,HOTMIX,3,RUSAK RINGAN,SALURAN KIRI JALAN,112.068429,-8.070810388,112.0701662,-8.070823077,112.0719033,-8.07083427,"{""type"":""MultiLineString"",""coordinates"":[[[112.068429033,-8.070810388],[112.070359452,-8.070824489],[112.071903323,-8.07083427]]]}",10.jpg
